Date	Price	Open	High	Low
"Apr 23, 2015"	"1,194.00"	"1,187.16"	"1,198.40"	"1,183.65"
"Apr 22, 2015"	"1,187.30"	"1,202.35"	"1,205.20"	"1,185.33"
"Apr 21, 2015"	"1,202.68"	"1,196.41"	"1,204.40"	"1,192.90"
"Apr 20, 2015"	"1,196.50"	"1,204.50"	"1,209.40"	"1,191.14"
"Apr 17, 2015"	"1,204.65"	"1,198.10"	"1,208.10"	"1,196.78"
"Apr 16, 2015"	"1,197.65"	"1,201.95"	"1,209.60"	"1,194.56"
"Apr 15, 2015"	"1,202.05"	"1,192.46"	"1,205.35"	"1,188.63"
"Apr 14, 2015"	"1,193.58"	"1,198.70"	"1,202.10"	"1,183.68"
"Apr 13, 2015"	"1,198.85"	"1,206.80"	"1,209.83"	"1,196.23"
"Apr 10, 2015"	"1,208.05"	"1,193.90"	"1,211.10"	"1,192.90"
"Apr 09, 2015"	"1,195.01"	"1,202.51"	"1,203.76"	"1,192.30"
"Apr 08, 2015"	"1,202.80"	"1,208.45"	"1,212.60"	"1,197.45"
"Apr 07, 2015"	"1,208.60"	"1,214.29"	"1,215.91"	"1,207.05"
"Apr 06, 2015"	"1,214.70"	"1,215.23"	"1,224.50"	"1,213.45"
"Apr 03, 2015"	"1,210.90"	"1,200.99"	"1,212.74"	"1,199.36"
"Apr 02, 2015"	"1,202.59"	"1,204.20"	"1,208.15"	"1,195.00"
"Apr 01, 2015"	"1,204.10"	"1,183.25"	"1,209.00"	"1,180.25"
"Mar 31, 2015"	"1,183.50"	"1,185.00"	"1,191.20"	"1,178.05"
"Mar 30, 2015"	"1,186.20"	"1,198.35"	"1,199.50"	"1,182.05"
"Mar 27, 2015"	"1,199.30"	"1,203.75"	"1,206.70"	"1,192.41"
"Mar 26, 2015"	"1,204.38"	"1,195.15"	"1,219.80"	"1,194.10"
"Mar 25, 2015"	"1,195.45"	"1,192.70"	"1,199.90"	"1,186.45"
"Mar 24, 2015"	"1,193.13"	"1,188.95"	"1,195.70"	"1,184.85"
"Mar 23, 2015"	"1,189.30"	"1,185.36"	"1,192.10"	"1,178.85"
"Mar 20, 2015"	"1,182.68"	"1,170.20"	"1,188.30"	"1,168.05"
"Mar 19, 2015"	"1,171.30"	"1,166.85"	"1,177.86"	"1,159.66"
"Mar 18, 2015"	"1,167.25"	"1,148.75"	"1,174.61"	"1,145.40"
"Mar 17, 2015"	"1,149.30"	"1,153.80"	"1,159.85"	"1,142.86"
"Mar 16, 2015"	"1,154.59"	"1,157.75"	"1,164.46"	"1,149.85"
"Mar 13, 2015"	"1,159.48"	"1,153.15"	"1,162.55"	"1,151.05"
"Mar 12, 2015"	"1,153.70"	"1,154.20"	"1,166.70"	"1,148.50"
"Mar 11, 2015"	"1,154.80"	"1,161.40"	"1,165.95"	"1,147.10"
"Mar 10, 2015"	"1,161.93"	"1,166.35"	"1,171.35"	"1,155.60"
"Mar 09, 2015"	"1,167.30"	"1,167.90"	"1,176.15"	"1,165.40"
